name,name2,gender,nation,birth,height,weight,event,nationplace
安-弗雷泽 ,Shelly-Ann Fraser-Pryce,女,牙买加,1986年11月27日,160厘米,52kg,田径,
安吉尔·麦克康特利 ,Angel McCoughtry,女,美国,1986年9月10日,185cm,73kg,篮球,
毕晓琳 ,Bi Xiaolin,女,中国,1989年9月18日,,,足球,辽宁
阿莱克斯•加西亚 ,Alex Garcia,男,巴西,1980年3月4日,191厘米,89kg,篮球,
保罗·乔治 ,Paul George,男,美国,1990年05月02日,203厘米,95kg,篮球,
阿尔法拉克·阿米奴 ,Al-Farouq Aminu,男,尼日利亚,1990年9月21日,206厘米,98kg,篮球,
安德森•瓦莱乔 ,Anderson Varejao,男,巴西,1982年9月28日,211厘米,118kg,篮球,
博涅娃 ,BONEVA Antoaneta,女,保加利亚,1986年1月17日,,,射击,
阿隆·贝内斯 ,Aron Baynes,男,澳大利亚,1986年12月9日,208厘米,118kg,篮球,
埃米莉·西博姆 ,Emily Jane Seebohm,女,澳大利亚,1992年06月05日,1.80米,64kg,游泳,
巴哈尔·卡格拉尔 ,Bahar Caglar,女,土耳其,1988年9月28日,191厘米,76kg,篮球,
安德烈斯·诺西奥尼 ,Andres Nocioni,男,阿根廷,1979年11月30日,201厘米,102kg,篮球,
安迪·穆雷 ,Andy Murray,男,英国,1987年5月15日,191厘米,81kg,网球,
波尔 ,Timo Boll,男,德国,1981年3月8日,178cm,65kg,乒乓球,
艾克内·伊贝克维 ,Ekene Ibekwe,男,尼日利亚,1985年7月19日,206厘米,100kg,篮球,
阿列克谢·克里莫夫 ,Alexey Klimov ,男,俄罗斯,1975年8月27日,182cm,81kg,射击,
鲍语晴 ,Bao Yuqing,女,中国,,,,艺术体操,浙江
奥古斯托 ,Augusto,男,巴西,1988年2月8日,186cm,86kg,男子足球,
艾衍含 ,Ai Yanhan,女,中国,2002年2月7日,,,游泳,湖北
毕胜峰 ,Bi Shengfeng,男,中国,,,,摔跤,
鲍里斯·迪奥 ,Boris Diaw,男,法国,1982年4月16日,203厘米,107kg,篮球,
阿索维奇 ,ARSOVIC Andrea,,,,,,,
贝莎妮·马泰克-桑兹 ,Bethanie Mattek-Sands,女,美国,1985年3月23日,168cm,66.4kg,网球,
卞卡 ,BIAN Ka,女,中国,1993年01月05日,182厘米,113kg,女子铅球,江苏
安赫尔-科雷亚 ,Angel Correa,男,阿根廷,1995年3月9日,173cm,71kg,男子足球,
查德·勒克洛斯 ,Chad le Clos,男,南非,1992年4月12日,1.83米,77.8kg,游泳,
